Kapitel;Titel;FKZ;Zweckbestimmung;Ist 2015 in T€;Soll 2016 in T€;Ansatz 2017 in T€
0614;88301;729;Zuweisungen an Gemeinden und Gemeindeverbände zur Förderung innovativer Fahrradinfrastruktur wie Ladestationen für elektrisch unterstützte Räder, Abstellmöglichkeiten und weitere Bike&Ride-Angebote;1.000,0;0,0;1.000,0
0614;88304;725;Zuweisungen aus Bundesmitteln für den kommunalen Radwegebau;2.054,9;5.000,0;5.000,0
0614;88305;742;Kostenbeiträge nach dem Eisenbahnkreuzungsgesetz an Gemeinden und Gemeindeverbände;0,0;0,0;50,0
0614;88306;741;An Gemeinden und Gemeindeverbände für Investitionen;0,0;50,0;0,0
0614;88307;725;Zuweisungen aus Bundesmitteln für den kommunalen Straßenbau (ohne Radwegebau);16.419,4;17.000,0;17.000,0
0614;88308;741;Zuweisungen aus dem ÖPNV-Bundesprogramm nach dem Gemeindeverkehrsfinanzierungsgesetz zur Förderung des öffentlichen Personenverkehrs;0,0;0,0;0,0
0614;88309;741;An Gemeinden und Gemeindeverbände für ÖPNV-Maßnahmen aus Bundesmitteln;4.301,4;6.000,0;6.000,0
0614;88327;731;Zuweisungen an Gemeinden und Gemeindeverbände für bedeutsame Investitionen im Bereich der Seehäfen;350,3;2.045,0;2.045,0
0614;88401;711;Zuführung an das Sondervermögen Verkehrsinfrastruktur;7.295,0;0,0;0,0
0614;89105;742;Kostenbeiträge nach dem Eisenbahnkreuzungsgesetz an öffentliche Unternehmen;1.166,9;700,0;700,0
0614;89107;741;Planungskosten;491,3;7.500,0;4.500,0
0614;89108;741;An öffentliche Verkehrsunternehmen für Investitionen;3.599,6;2.900,0;4.000,0
0614;89110;741;An öffentliche Unternehmen für ÖPNV-Maßnahmen aus Bundesmitteln;12.379,2;14.253,0;14.253,0
0614;89127;731;Zuschüsse für bedeutsame Investitionen im Bereich der Seehäfen an öffentliche Unternehmen;0,0;0,0;0,0
0614;89201;741;An private Verkehrsunternehmen für Investitionen;10,0;500,0;500,0
0614;89205;742;Kostenbeiträge nach dem Eisenbahnkreuzungsgesetz an private Unternehmen;0,0;0,0;0,0
0614;89209;741;An private Unternehmen für ÖPNV-Maßnahmen aus Bundesmitteln;229,1;1.000,0;1.000,0
0614;89401;711;An den Landesbetrieb Straßenbau und Verkehr Schleswig-Holstein für Investitionen;39.072,5;43.142,9;53.142,9
0614;89402;731;Investitionszuschüsse an den Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz SH (LKN);1.849,8;1.873,0;1.873,0
0614;89405;711;Planungskosten des Landes im Zusammenhang mit Maßnahmen des Bundes;1.105,0;1.550,0;0,0
0614;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0614;91901;851;Zuführung an die Rücklage des LKN;1.100,0;0,0;0,0
0614;91964;851;Zuführung an die Rücklage;99,4;0,0;0,0
0614;98101;731;Verrechnung von Ausgaben im Zusammenhang mit Küstenschutzmaßnahmen in Friedrichskoog;0,0;0,0;1.028,6
0616;11201;144;Geldstrafen, Geldbußen und Gerichtskosten;0,0;0,0;0,0
0616;11903;144;Einnahmen aus zurückgezahlten Zuwendungen und Zinsen nach dem AFBG;293,5;0,0;0,0
0616;11905;691;Einnahmen aus zurückzuzahlenden Zuwendungen einschließlich Zinsen;34,9;500,0;500,0
0616;11999;253;Vermischte Einnahmen;0,0;0,0;0,0
0616;23102;252;Zahlungen des Bundes gemäß § 46 Abs. 5 bis 8 SGB II - Zweckgebundene Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung nach § 22 (1) SGB II zur Weiterleitung an die Kreise und kreisfreien Städte;187.210,9;0,0;0,0
0616;23103;144;Zahlungen des Bundes zur Abwicklung des Gesetzes zur Förderung der beruflichen Aufstiegsfortbildung;4.179,3;4.836,0;5.226,0
0616;27203;253;Zuweisungen der Europäischen Union für die Abrechnung von Altprogrammen;0,0;0,0;0,0
0616;27204;253;Zuweisungen aus dem Europäischen Sozialfonds für die Förderperiode 2007 bis 2013;19,8;0,0;0,0
0616;27205;253;Zuweisungen der europäischen Sozialfonds für die Förderperiode 2014 bis 2020;7.994,8;8.000,0;8.000,0
0616;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;927,2;896,3;930,0
0616;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;446,8;477,2;447,0
0616;52601;153;Fachbeiräte und Ausschüsse;0,0;0,0;0,0
0616;52602;011;Fachbeiräte und Ausschüsse;0,0;5,0;5,0
0616;52603;153;Fachbeiräte und ähnliche Ausschüsse;0,7;2,6;2,6
0616;53101;153;Maßnahmen zur Unterstützung der Weiterbildungsbeteiligung;57,5;135,0;135,0
0616;53305;253;Für Aufträge an Dritte im Rahmen der beruflichen Weiterbildung;7,2;4,0;4,0
0616;53308;253;Vertragliche Entgelte für die Durchführung der Erfolgskontrolle des Zukunftsprogramms Arbeit in der ESF-Förderperiode 2007 bis 2013;0,0;0,0;0,0
0616;53309;253;Vertragliche Entgelte für die Restabwicklung von ASH 2000;0,3;23,0;0,0
0616;53312;253;An Dritte für Aufträge im Rahmen des Strukturfonds;119,0;73,3;55,2
0616;54701;253;Nicht aufteilbare Veraltungsausgaben im Rahmen der Arbeitsmarktintegration;0,0;0,0;0,0
0616;54704;253;Technische Hilfe;14,7;0,0;0,0
0616;54705;253;Technische Hilfe;31,3;0,0;0,0
0616;63301;153;An Gemeinden und Gemeindeverbände zur Förderung von Maßnahmen zur Verbesserung der Weiterbildungsinfrastruktur und besonderer Zielgruppen sowie innovativer Maßnahmen in der Weiterbildung;0,0;0,0;0,0
0616;63302;253;An Gemeinden und Gemeindeverbände für Maßnahmen der Arbeitsmarktintegration;0,0;0,0;0,0
0616;63309;252;Zahlungen des Bundes gemäß § 46 Abs. 5 bis 8 SGB II - Zweckgebundene Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung nach § 22 (1) SGB II zur Weiterleitung an die Kreise und kreisfreien Städte;187.210,9;0,0;0,0
0616;63310;253;Zuweisungen an Gemeinden und Gemeindeverbände;695,6;0,0;0,0
0616;63311;253;Zuweisungen an Gemeinden und Gemeindeverbände;445,8;144,0;144,0
0616;66303;144;Schuldendiensthilfen nach dem Gesetz zur Förderung der beruflichen Aufstiegsfortbildung;364,7;500,0;600,0
0616;67101;253;Erstattung von Kosten für die Abwicklung von Förderprogrammen;0,0;100,0;317,0
0616;67102;253;Erstattung von Kosten für die Abwicklung der ESF-Förderperiode 2007 bis 2013;817,1;160,0;30,0
0616;67103;144;Verwaltungskosten zur Abwicklung des Gesetzes zur Förderung der beruflichen Aufstiegsfortbildung;563,2;735,0;835,0
0616;67105;253;Erstattung von Kosten für die Abwicklung der Förderperiode 2014 bis 2020;821,5;1.770,0;1.806,0
0616;67601;253;Erstattungen an die EU;0,0;0,0;0,0
0616;68103;144;Zuwendungen nach dem Gesetz zur Förderung der beruflichen Aufstiegsfortbildung;5.658,1;6.200,0;6.700,0
0616;68301;253;An private Unternehmen für Maßnahmen der Arbeitsmarktintegration;0,0;0,0;0,0
0616;68311;253;Zuschüsse für laufende Zwecke an private Unternehmen;5.923,5;0,0;0,0
0616;68312;253;Zuschüsse für laufende Zwecke an private Unternehmen;4.606,7;2.655,7;2.655,7
0616;68401;253;An soziale oder ähnliche Einrichtungen für Maßnahmen der Arbeitsmarktintegration;0,0;0,0;0,0
0616;68402;236;"Zuschüsse an Träger von Beratungsstellen ""Frau und Beruf""";938,7;516,0;528,0
0616;68405;253;Zuschüsse für laufende Zwecke an soziale und ähnliche Einrichtungen (ohne öffentliche Einrichtungen);0,0;0,0;0,0
0616;68501;253;An öffentliche Einrichtungen für Maßnahmen der Arbeitsmarktintegration;0,0;0,0;0,0
0616;68505;153;An Organisationen der Wirtschaft und sonstige Träger für Maßnahmen der Fachkräfteentwicklung und -sicherung;173,2;315,0;315,0
0616;68512;153;An Organisationen der Wirtschaft für Maßnahmen zur Information und Beratung in der beruflichen Weiterbildung;150,0;500,0;500,0
0616;68601;153;Förderung von mobiler Beratung ausländischer Arbeitnehmerinnen und Arbeitnehmer;0,0;200,0;300,0
0616;68602;253;An Sonstige für Maßnahmen der Arbeitsmarktintegration;0,0;0,0;4.000,0
0616;68605;253;Zuschüsse für lfd. Zwecke im Inland aus dem ESF;0,0;0,0;0,0
0616;68606;253;Zuschüsse für laufende Zwecke im Inland aus dem Europäischen Sozialfonds (ESF) für die Förderperiode 2007 bis 2013;0,0;0,0;0,0
0616;68607;253;Sonstige Zuschüsse für laufende Zwecke im Inland;1.647,8;8.000,0;8.000,0
0616;68612;153;An Sonstige zur Förderung von Maßnahmen zur Verbesserung der Weiterbildungsinfrastruktur und besonderer Zielgruppen sowie innovativer Maßnahmen in der Weiterbildung;11,4;4.000,0;0,0
0616;68615;253;Sonstige Zuschüsse für laufende Zwecke im Inland;0,0;0,0;0,0
0616;89402;153;An öffentliche Einrichtungen für Investitionen für den Bereich Weiterbildung;0,0;0,0;0,0
0616;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0701;11101;011;Gebühren und tarifliche Entgelte;16,9;31,0;31,0
0701;11102;011;Erstattung von Prozesskosten;4,6;3,0;3,0
0701;11201;011;Geldstrafen, Geldbußen und Gerichtskosten;0,3;5,0;5,0
0701;11901;011;Einnahmen aus Veröffentlichungen;50,1;30,0;30,0
0701;11902;011;Einnahmen aus Werbeanzeigen;11,4;0,0;0,0
0701;11904;062;Einnahmen aus Schadensersatzleistungen;0,0;0,0;0,0
0701;11999;011;Vermischte Einnahmen;25,2;20,0;20,0
0701;12401;011;Einnahmen aus Vermietung, Verpachtung und Nutzung;0,0;0,0;0,0
0701;28102;011;Erstattungen von Personalkosten;95,3;0,0;0,0
0701;35605;851;"Entnahme aus der Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0701;35901;851;Entnahme aus der Rücklage für Personal;0,0;0,0;0,0
0701;42101;011;Bezüge der Ministerin;143,6;133,7;133,7
0701;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;936,9;1.411,2;1.551,2
0701;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;25,1;29,8;29,8
0701;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;1.413,0;650,6;650,6
0701;42901;011;Ausgaben für Tarif- und Besoldungserhöhungen;0,0;1.414,9;1.414,9
0701;45301;011;Trennungsgeld und Umzugskostenvergütungen des Ministeriums und nachgeordneter Dienststellen;10,9;51,7;51,7
0701;45311;114;Trennungsgeld und Umzugskostenvergütungen der Grund- und Hauptschulen;43,2;20,0;20,0
0701;45312;124;Trennungsgeld und Umzugskostenvergütungen der Förderzentren;0,0;10,0;10,0
0701;45313;114;Trennungsgeld und Umzugskostenvergütungen der Realschulen und Regionalschulen;7,7;20,0;10,0
0701;45314;114;Trennungsgeld und Umzugskostenvergütungen der Gymnasien;31,5;50,0;30,0
0701;45315;114;Trennungsgeld und Umzugskostenvergütungen der Gesamtschulen und Gemeinschaftsschulen;7,2;0,0;30,0
0701;45316;127;Trennungsgeld und Umzugskostenvergütungen der berufsbildenden Schulen;0,0;3,0;3,0
0701;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;176,3;164,8;164,8
0701;51401;011;Verbrauchsmittel, Haltung von Dienstfahrzeugen und dgl.;0,0;0,0;0,0
0701;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;17,6;22,0;22,0
0701;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;77,4;106,5;96,0
0701;52501;011;Ausbildung und Umschulung der Mitarbeiterinnen und Mitarbeiter einschließlich Reisekosten;21,1;34,0;34,0
0701;52502;011;Fortbildung der Mitarbeiterinnen und Mitarbeiter einschließlich Reisekosten;88,8;96,5;96,5
0701;52601;011;Gerichts- und ähnliche Kosten;57,7;110,0;110,0
0701;52602;011;Sonstige Ausgaben in Personalvertretungs- und Schwerbehindertenangelegenheiten für den Schulbereich;126,2;127,0;127,0
0701;52603;011;Fachbeiräte und ähnliche Ausschüsse;0,5;5,3;5,3
0701;52604;011;Sonstige Ausgaben in weiteren Personalvertretungs- und Schwerbehindertenangelegenheiten;1,6;4,5;4,5
0701;52605;011;Amtsärztliche Untersuchung von Mitarbeiterinnen und Mitarbeitern, Bewerberinnen und Bewerbern;1,1;3,0;3,0
0701;52606;011;Sonstige Ausgaben in Personalvertretungs- und Schwerbehindertenangelgenheiten für den Hauptpersonalrat (V);1,4;9,0;9,0
0701;52699;011;Kosten für Sachverständige, Gutachten u.ä.;7,0;44,0;44,0
0701;52701;011;Reisekostenvergütungen;21,2;39,2;39,2
0701;52910;011;Zur Verfügung des Ministeriums für Repräsentationsaufgaben;1,2;7,6;7,6
0701;53102;013;Öffentlichkeitsarbeit;61,0;60,5;60,5
0701;53103;011;Nachrichtenblatt des Ministeriums für Schule und Berufsbildung;47,8;33,8;33,8
0701;53301;011;Arbeitsmedizinische Betreuung;18,2;20,0;20,0
0701;53398;011;Planungskosten für nicht realisierte Unterbringungsuntersuchungen;0,0;0,0;0,0
0701;53399;011;Leistungsentgelte an die GMSH;63,1;63,0;63,0
0701;53401;011;Sächliche Verwaltungsausgaben für die Durchführung von Veranstaltungen;0,0;0,0;0,0
0701;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;98,0;45,4;57,5
0701;81201;011;Erwerb von Geräten und sonstigen beweglichen Sachen;14,2;21,5;21,5
0701;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0701;91901;851;Zuführung an die Rücklage Personal;0,0;0,0;0,0
0701;97201;881;Globale Minderausgabe;0,0;0,0;0,0
0701;97205;881;Globale Minderausgabe 2015;0,0;0,0;0,0
0701;97206;881;Globale Minderausgabe 2016;0,0;-1.281,6;0,0
0707;42210;114;Planstellen der Beamtinnen und Beamten im Vorbereitungsdienst für alle Schularten;0,0;25.066,0;24.924,3
0707;42211;112;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Grundschulen;0,0;0,0;0,0
0707;42212;124;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Förderzentren;0,0;0,0;0,0
0707;42213;114;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Regionalschulen;0,0;0,0;0,0
0707;42214;114;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Gymnasien;0,0;0,0;0,0
0707;42215;114;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Gemeinschaftsschulen;0,0;0,0;0,0
0707;42216;127;Bezüge der Beamtinnen und Beamten im Vorbereitungsdienst an Berufsbildenden Schulen;0,0;0,0;0,0
0708;18601;024;Darlehensrückflüsse aus der Förderung von Schülerinnen/Schülern und Studentinnen/Studenten in Nordschleswig;0,0;2,5;2,5
0708;23101;024;Erstattung des Kindergeldes für deutsche Lehrkräfte in Nordschleswig durch den Bund;162,9;103,5;103,5
0708;23102;024;Zuweisungen des Bundes für Ausgleichszulagen an die in Nordschleswig tätigen Lehrkräfte;194,1;379,0;379,0
0708;68401;024;Zuschüsse an die deutschen Schulen in Nordschleswig;1.517,0;1.540,0;1.564,0
0708;68402;024;Ausgleichszulage aus Bundesmitteln an die deutschen Lehrkräfte in Nordschleswig;129,8;379,0;379,0
0708;68403;024;Kindergeld an die deutschen Lehrkräfte in Nordschleswig;120,9;115,0;115,0
0709;11901;253;Einnahmen aus zurück zu zahlenden Zuwendungen einschließlich Zinsen;0,0;0,0;0,0
0709;11902;253;Einnahmen aus zurück zu zahlenden Zuwendungen einschließlich Zinsen;351,9;0,0;0,0
0709;12401;253;Einnahmen aus Vermietung, Verpachtung und Nutzung;1,1;1,0;1,0
0709;23301;253;Erstattungen von Gemeinden und Gemeindeverbänden;81,4;90,0;90,0
0709;28101;253;Erstattungen aus dem Inland;266,5;335,0;335,0
0709;42903;253;Nicht aufteilbare Personalausgaben;0,0;0,0;0,0
0709;52601;153;Landesausschuss und andere Gremien im Bereich der Berufsbildung;0,0;0,0;0,0
0709;52602;153;Landesausschuss und andere Gremien im Bereich der Berufsbildung;0,1;2,4;2,4
0709;53301;253;Abwicklungskosten für die Verfahren über Erstattungen nach dem Anerkennungsfonds;0,0;0,0;0,0
0709;53311;253;Vertragliche Entgelte für die Abwicklung von Maßnahmen im Rahmen des Gesetzes über das Jugendaufbauwerk Schleswig-Holstein;77,3;77,4;77,4
0709;53401;253;Maßnahmen zur Anpassung der JAW-Konzeption an die pädagogische Entwicklung;0,0;0,0;120,0
0709;53402;253;Maßnahmen für Flüchtlinge;0,0;0,0;1.000,0
0709;53502;253;Durchführung projektübergreifender Qualifizierungsmaßnahmen;0,0;0,0;0,0
0709;53503;253;Regiekosten;0,0;50,0;50,0
0709;53505;253;Ausgaben für Gutachten, Werkverträge und sonstige Aufträge zur Weiterentwicklung der Berufsbildung;0,0;0,0;0,0
0709;54701;253;Nicht aufteilbare sächliche Verwaltungskosten;188,0;175,0;175,0
0709;63303;253;Erstattungen an Gemeinden und Gemeindeverbände;54,2;130,0;130,0
0709;63304;253;Förderungsbeiträge des Landes;0,0;0,0;0,0
0709;63305;253;Zuweisungen an Gemeinden und Gemeindeverbände für Produktionsschulen;74,4;123,5;123,5
0709;63306;253;Zuweisungen an öffentliche Träger;53,5;100,0;100,0
0709;67101;253;Sonstige Erstattungen;127,8;120,0;120,0
0709;67102;253;Erstattungen im Zusammenhang mit den Verfahrenskosten nach dem Anerkennungsgesetz;0,0;20,0;20,0
0709;67105;253;Erstattungen;0,0;0,0;0,0
0709;68301;253;Zuschüsse für laufende Zwecke an private Unternehmen für Produktionsschulen;312,2;344,0;344,0
0709;68401;253;Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen;0,0;0,0;0,0
0709;68501;153;Zuschüsse für laufende Maßnahmen der Berufsausbildung und regionale Fachberatung;1.232,9;1.250,0;1.250,0
0709;68601;253;Förderung im Zusammenhang mit den Verfahrenskosten nach dem Anerkennungsgesetz;0,0;0,0;0,0
0709;68602;253;Förderung von Sondermaßnahmen zur Verbesserung der Ausbildungssituation in Schleswig-Holstein, zur Attraktivitätssteigung des Dualen Systems, Regionale Ausbildungsbetreuung;472,3;589,7;589,7
0709;68603;253;Zuschüsse an sonstige Träger;0,0;0,0;0,0
0709;88301;253;Zuweisungen für Investitionen an Gemeinden und Gemeindeverbände;154,3;277,8;157,8
0709;89302;153;An Organisationen der Wirtschaft und sonstige Träger für Investitionen für den Bereich Aus- und Weiterbildung;149,3;1.450,0;1.450,0
0709;89303;253;Zuschüsse an Sonstige;1.085,3;975,0;975,0
0710;11101;129;Gebühren und tarifliche Entgelte;10,5;5,0;5,0
0710;11902;129;Rückzahlung überzahlter Beiträge aus Zuschüssen an Privatschulen;955,0;200,0;200,0
0710;11905;011;Rückzahlung überzahlter Beträge aus Betreuungs- und Ganztagsförderung;655,1;600,0;600,0
0710;11906;011;Rückzahlung überzahlter Beträge aus den Projekten Schulsozialarbeit und Förderung der Übergänge im vorschulischen und schulischen Bildungsverlauf;7,1;5,0;5,0
0710;11907;129;Rückzahlung überzahlter Beträge aus vertraglichen Zahlungen des HK PLuS;50,1;0,0;0,0
0710;11908;129;Rückzahlung überzahlter Beträge im Rahmen der schulischen Assistenz;0,0;0,0;0,0
0710;23101;111;"Zuweisung des Bundes als Kompensationszahlung für den Wegfall der Gemeinschaftsaufgabe ""Bildungsplanung"" (Anteil Bildungsbereich)";0,0;0,0;0,0
0710;23201;112;"Zuweisungen anderer Bundesländer für die nationale Erweiterung der ""Internationalen Grundschul-Lese-Untersuchung (IGLU)""";0,0;0,0;0,0
0710;23202;129;Zuweisungen der Länder;0,0;0,0;0,0
0710;23301;127;Landesanteil an Umschülerbeiträgen nach § 23 Abs. 6 SchulG;2.277,4;1.550,0;1.850,0
0710;23318;115;Beteiligung der Kommunen an den Schullasten des Landes für die Finanzierung der deutschen allgemeinbildenden Privatschulen;8.097,8;6.679,7;7.315,7
0710;23328;129;Beteiligung der Kommunen an dem Schullastenausgleich des Landes Schleswig-Holstein mit Hamburg für Kinder aus Schleswig-Holstein in Hamburger Privatschulen;1.249,2;1.160,7;1.160,7
0710;23338;115;Beteiligung der Kommunen an den Schullasten des Landes für die Privatschulfinanzierung der Schulen der dänischen Minderheit;6.684,1;6.310,4;6.310,4
0710;23348;128;Beteiligung der Kommunen an den Schullasten des Landes für die Privatschulfinanzierung der deutschen berufsbildenden Privatschulen;520,6;483,7;483,7
0710;23358;129;Beteiligung der Kommunen an den Schullasten des Landes Schleswig-Holstein mit Hamburg für Kinder aus Schleswig-Holstein an Hamburger Schulen (ohne Privatschulen);1.536,5;1.525,7;1.525,7
0710;23501;129;Zuweisungen der Regionaldirektion Nord der Bundesagentur für Arbeit für das Handlungskonzept PLuS;772,5;0,0;0,0
0710;27201;129;"Zuweisung der EU zur Durchführung des ""Programms für lebenslanges Lernen""";0,0;0,0;0,0
0710;28101;129;"Kostenerstattungen im Rahmen der Durchführung des Vorhabens ""Flexibilisierung der Übergangsphase und Berufswahlpass""";0,0;0,0;0,0
0710;28201;129;Beiträge Dritter zugunsten des Schulsports;8,8;0,0;0,0
0710;28202;129;Zuschüsse vom Deutsch-Französischen Jugendwerk;60,3;0,0;0,0
0710;28203;114;Beiträge Dritter zur Begabungsförderung;0,0;0,0;0,0
0710;28204;129;Zuschüsse vom Deutsch-Polnischen Jugendwerk;76,0;0,0;0,0
0710;28205;129;Beiträge Dritter für allgemeine schulische Zwecke;0,0;0,0;0,0
0710;28206;111;Beiträge Dritter zu den Kosten für die Tätigkeiten der Landesschülervertretungen;0,0;0,0;0,0
0710;28207;129;Beiträge Hamburgs für die Beschulung in der Landesunterkunft Bad Segeberg;0,0;0,0;0,0
0710;28208;129;Zuweisung der Deutschen UNESCO-Kommission für das Baltic-Sea-Projekt (BSP) im Rahmen der UNESCO-Projektschule;0,0;0,0;0,0
0710;28211;111;Beiträge Dritter für die Qualitätssicherung und -entwicklung für die Schulen;0,0;0,0;0,0
0710;28213;111;Beiträge Dritter zur Sommeruniversität;0,0;0,0;0,0
0710;28214;141;"Zuweisungen Dritter für das Projekt ""START-Schülerstipendien für begabte Zuwanderer""";27,6;0,0;0,0
0710;28225;129;"Beiträge Dritter für das Projekt ""Kulturelle Bildung""";170,0;0,0;0,0
0710;33122;129;Zuweisungen des Bundes für Investitionen im Schulbau im Rahmen der energetischen Sanierung für Gemeinden mit Finanzproblemen;0,0;0,0;0,0
0710;35601;851;"Entnahme aus der Rücklage für Ganztagsschulen und das ÖPP-Projekt ""Berufliche Schulen in Kiel"" (RBZ)";0,0;0,0;0,0
0710;35605;851;"Entnahme aus der Rücklage ""Sabbatjahr""";4,9;0,0;0,0
0710;35901;851;Entnahme aus der Rücklage für das Handlungskonzept PLuS;0,0;0,0;0,0
0710;35907;851;Entnahme aus der Rücklage zur Privatschulfinanzierung;0,0;0,0;0,0
0710;35922;851;"Entnahme aus der Rücklage ""Investitionen im Schulbau""";0,0;0,0;0,0
0710;38101;891;Verrechnung der Einnahmen aus Zweckabgaben nach dem Gesetz zur Ausführung des Ersten Staatsvertrages zum Glückspielwesen in Deutschland (Erster GlüÄndStV AG) zur Förderung des außerunterichtlichen Schulsports;160,0;160,0;160,0
0710;38201;891;Erstattungen der Schulträger für Aufwendungen des Landes zur Abgeltung urheberrechtlicher Ansprüche;428,4;380,0;380,0
0710;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;6.947,9;7.737,7;8.029,7
0710;42204;114;"Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten, die als ""Mobile Vertretungsfeuerwehr"" an schulamtsgebundenen Schulen eingesetzt werden";1.174,0;5.210,0;5.210,0
0710;42216;114;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;2.511,0;0,0;0,0
0710;42219;114;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten für schulpflichtige Flüchtlinge;0,0;29.016,7;46.167,0
0710;42704;111;Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige;0,0;0,0;0,0
0710;42705;111;Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige;0,0;20,0;20,0
0710;42706;113;Prüfungsvergütungen für den nachträglichen Ersten allgemeinbildenden Schulabschluss;50,3;120,0;120,0
0710;42707;114;Prüfungsvergütungen für den nachträglichen Mittleren Schulabschluss;42,2;32,0;32,0
0710;42708;114;Prüfungsvergütungen für Fachhochschulprüfungen sowie für Latein- und Abiturprüfungen u.a.;90,1;50,0;50,0
0710;42709;129;Beschäftigungsentgelte im Rahmen der Sprachförderung;0,0;0,0;0,0
0710;42711;112;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Grundschulen;1.875,3;550,0;550,0
0710;42712;124;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Förderzentren;588,3;350,0;350,0
0710;42713;114;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Regionalschulen;61,9;50,0;50,0
0710;42714;114;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Gymnasien;3.287,3;2.900,0;2.900,0
0710;42715;127;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an berufsbildenden Schulen;2.177,5;1.000,0;1.000,0
0710;42716;129;Beschäftigungsentgelte im Rahmen der Förderung der Übergänge im vorschulischen und schulischen Bildungsverlauf;38,9;50,0;50,0
0710;42717;114;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Gemeinschaftsschulen ohne Oberstufe;1.567,2;800,0;800,0
0710;42718;114;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte an Gemeinschaftsschulen mit Oberstufe;1.730,9;1.220,0;1.220,0
0710;42719;114;Beschäftigungsentgelte (Vergütungen) an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0710;42721;111;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;2,0;0,0;0,0
0710;42722;111;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0710;42725;129;Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige;0,0;0,0;0,0
0710;42726;114;Honorare für Prüfungskräfte;0,0;0,0;40,0
0710;42761;129;Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige;0,0;0,0;0,0
0710;42765;129;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;23,7;0,0;0,0
0710;42767;127;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte (BBS/RBZ), Prüfungsgebühren;0,2;2.500,0;2.520,0
0710;42768;112;Beschäftigungsentgelte und Prüfungsgebühren (allgemeinbildende Schulen);0,0;0,0;48,3
0710;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;3.731,1;3.397,7;3.397,7
0710;42804;114;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;528,8;0,0;0,0
0710;42816;114;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;768,4;0,0;0,0
0710;42819;114;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;0,0;0,0;0,0
0710;42824;112;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;0,0;7.800,0;7.300,0
0710;42913;111;Nicht aufteilbare Personalausgaben;0,0;0,0;0,0
0710;42915;111;Nicht aufteilbare Personalkosten;0,0;1,0;1,0
0710;42920;111;Nicht aufteilbare Personalausgaben;0,0;0,0;0,0
0710;42965;129;Sonstige nicht aufteilbare Personalausgaben;0,0;0,0;0,0
0710;51113;111;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände;125,9;0,0;0,0
