Profitcenter;Objektnr.;Bezeichnung;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017;VE 2018;Plan 2018;Plan 2019;Plan 2020;Plan 2021;Plan 2022
50101;1.100.05.01.01;Öffentl. Arbeitsangel. nach dem SGB II;58110000;Aufwendungen aus internen Leistungsbez.;111.608,00;111.608,00;111.608,00;111.608,00;0,00;111.608,00;111.608,00;111.608,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;42110001;Einnahmen aus Ansprüchen nach dem BSHG;-179.960,34;-86.288,67;-90.000,00;-50.000,00;0,00;-40.000,00;-40.000,00;-40.000,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;44610000;Sonstige privatrechtliche Leistungsentge;0,00;-2.557,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;44880001;Erträge aus Verfahrenskosten;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;45617100;Zwangsgelder;0,00;0,00;-100,00;-100,00;0,00;-100,00;-100,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;45910000;andere sonstige ordentliche Erträge;-18.207,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50000000;Planung Personalaufwendungen;0,00;0,00;854.835,93;892.148,83;0,00;904.710,61;917.508,60;930.546,36;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50110000;Bezüge Beamte;203.979,96;208.587,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50120000;Vergütungen tariflich Beschäftigte;436.580,35;400.697,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50220000;Beiträge Versorgungskassen tariflich Bes;34.893,75;33.982,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;86.245,66;78.912,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50410000;Beihilfen und Unterstützungsleistungen f;116,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50510000;Rückstellungen für Pensionsverpflichtung;75.067,10;0,00;47.557,39;46.200,56;0,00;46.200,56;46.200,56;46.200,56;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;50610000;Rückstellungen für Beihilfen;25.493,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;51000000;Planung Versorgungsaufwendungen;0,00;0,00;114.793,69;111.518,60;0,00;114.704,85;117.891,10;121.077,34;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;53726000;Finanzierungsb. an Sozialhilfelst. d Kre;30.859,85;20.891,73;45.000,00;25.000,00;0,00;25.000,00;25.000,00;25.000,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;54123000;Fort- und Weiterbildung, Dienstreisen;1.086,49;3.092,25;520,00;637,00;0,00;637,00;637,00;637,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;54297000;Gerichtskosten u. ä.;6.063,12;5.703,88;5.000,00;5.500,00;0,00;5.500,00;6.000,00;6.000,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;54310000;Geschäftsaufwendungen;2.720,22;6.286,91;500,00;500,00;0,00;500,00;500,00;500,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;54990000;Sonstige laufende Verwaltungstätigkeiten;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;57110009;Abschreibungen auf Sachanlagen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;1.100.05.02.01;Leistungsgewährung nach dem SGB XII;58110000;Aufwendungen aus internen Leistungsbez.;230.523,00;230.523,00;230.523,00;230.523,00;0,00;230.523,00;230.523,00;230.523,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;41410000;Zuw.u.Zusch.für lfd.Zwecke vom Land;-2.815.772,48;-7.315.257,00;-4.700.000,00;-7.600.000,00;0,00;-7.600.000,00;-7.600.000,00;-7.600.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;41410001;Zuweisungen vom Land nach dem AsylbLG;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;42110000;Ersatz von soz. Leistungen außerhalb Ein;-16.165,59;-22.226,39;-1.000,00;-10.000,00;0,00;-10.000,00;-10.000,00;-10.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;42110003;Leistungen Dritter;-18.312,35;-51.335,50;-5.000,00;-10.000,00;0,00;-10.000,00;-10.000,00;-10.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;42110004;Sonstige Transfererträge;0,00;0,00;-100,00;-100,00;0,00;-100,00;-100,00;-100,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;44810001;Erstatt. v. Land für Ausz. nach dem Asyl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;45829000;Erträge aus der Auflösung sonstiger Rück;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;45829100;Erträge aus der Auflösung sonst. Persona;-2.542,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50000000;Planung Personalaufwendungen;0,00;0,00;211.720,82;266.873,57;0,00;270.631,24;274.459,58;278.359,64;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50110000;Bezüge Beamte;70.990,27;197.744,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50120000;Vergütungen tariflich Beschäftigte;65.158,58;114.653,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50220000;Beiträge Versorgungskassen tariflich Bes;5.197,80;9.145,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;12.376,05;22.259,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50510000;Rückstellungen für Pensionsverpflichtung;26.125,28;0,00;11.778,74;13.820,24;0,00;13.820,24;13.820,24;13.820,24;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;50610000;Rückstellungen für Beihilfen;8.872,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;51000000;Planung Versorgungsaufwendungen;0,00;0,00;28.431,44;33.359,20;0,00;34.312,32;35.265,44;36.218,56;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53310003;Leistungen bei Krankheit, Schwangerschaf;937.781,27;1.046.721,08;1.471.500,00;1.770.000,00;0,00;1.770.000,00;1.770.000,00;1.770.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53310004;Aufwandsentsch f d Wahrnehmung v Arbeits;0,00;0,00;0,00;15.000,00;0,00;15.000,00;15.000,00;15.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53390000;Sonstige soziale Leistungen;27.634,26;234.396,26;114.300,00;194.000,00;0,00;194.000,00;194.000,00;194.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53390002;Unterkunftskosten;697.769,17;888.056,48;1.371.600,00;2.052.000,00;0,00;2.052.000,00;2.052.000,00;2.052.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53390006;Aufw. für die Betreuung von ausländische;1.500,00;4.741,52;250,00;1.500,00;0,00;1.500,00;1.500,00;1.500,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;53390035;Leistungen gem. §3 AsylBLG;1.589.163,70;1.918.415,15;2.324.100,00;3.534.000,00;0,00;3.534.000,00;3.534.000,00;3.534.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;54123000;Fort- und Weiterbildung, Dienstreisen;327,83;198,67;520,00;637,00;0,00;637,00;637,00;637,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;54297000;Gerichtskosten u. ä.;437,13;69,02;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;54310000;Geschäftsaufwendungen;305,33;131,91;500,00;500,00;0,00;500,00;500,00;500,00;0,00;0,00
50301;1.100.05.03.01;Leistungen für Asylbewerber;58110000;Aufwendungen aus internen Leistungsbez.;80.527,00;80.527,00;80.527,00;80.527,00;0,00;80.527,00;80.527,00;80.527,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50000000;Planung Personalaufwendungen;0,00;0,00;133.867,74;131.984,10;0,00;133.842,48;135.735,81;137.664,61;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50110000;Bezüge Beamte;24.875,33;28.172,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50120000;Vergütungen tariflich Beschäftigte;45.092,46;56.659,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50220000;Beiträge Versorgungskassen tariflich Bes;5.665,88;4.485,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;8.263,52;11.283,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50510000;Rückstellungen für Pensionsverpflichtung;9.154,42;0,00;7.447,51;6.834,89;0,00;6.834,89;6.834,89;6.834,89;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;50610000;Rückstellungen für Beihilfen;3.108,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;51000000;Planung Versorgungsaufwendungen;0,00;0,00;17.976,75;16.498,01;0,00;16.969,38;17.440,76;17.912,13;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;54123000;Fort- und Weiterbildung, Dienstreisen;41,38;120,88;520,00;637,00;0,00;637,00;637,00;637,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;54310000;Geschäftsaufwendungen;181,89;0,00;500,00;500,00;0,00;500,00;500,00;500,00;0,00;0,00
50401;1.100.05.04.01;Leist. n. sonstig. Bundes- u. Landesges.;58110000;Aufwendungen aus internen Leistungsbez.;81.213,00;81.213,00;81.213,00;81.213,00;0,00;81.213,00;81.213,00;81.213,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;42110008;Rückforderung Unterhaltsvorschuss;-1.209,28;-6.338,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;42110009;Leistungen von Unterhaltsverpflichteten;-260.652,27;-128.904,42;-140.000,00;-140.000,00;0,00;-140.000,00;-140.000,00;-140.000,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;44810018;Erstattungen nach dem Unterhaltsvorschus;-434.359,92;-492.569,96;-485.000,00;-1.270.000,00;0,00;-970.000,00;-970.000,00;-970.000,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50000000;Planung Personalaufwendungen;0,00;0,00;136.789,78;218.587,90;0,00;220.462,83;222.373,02;224.319,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50110000;Bezüge Beamte;35.478,33;40.752,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50120000;Vergütungen tariflich Beschäftigte;51.906,13;53.010,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50220000;Beiträge Versorgungskassen tariflich Bes;4.027,85;4.134,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;10.233,51;10.441,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50510000;Rückstellungen für Pensionsverpflichtung;13.056,46;0,00;7.610,07;6.895,75;0,00;6.895,75;6.895,75;6.895,75;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;50610000;Rückstellungen für Beihilfen;4.434,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;51000000;Planung Versorgungsaufwendungen;0,00;0,00;18.369,14;50.816,35;0,00;51.291,92;51.767,48;52.243,05;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;52310000;Aufwandserst. lfd. Verwaltungstätigkeit;68.618,42;91.163,34;65.000,00;65.000,00;0,00;65.000,00;65.000,00;65.000,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;53390018;Leistungen nach dem Unterhaltsvorschussg;926.075,28;932.673,24;1.040.000,00;2.080.000,00;0,00;2.080.000,00;2.080.000,00;2.080.000,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;54120002;Ausbildung;0,00;0,00;500,00;850,00;0,00;850,00;850,00;850,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;54123000;Fort- und Weiterbildung, Dienstreisen;31,25;75,46;682,00;682,00;0,00;682,00;682,00;682,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;54310000;Geschäftsaufwendungen;113,67;939,91;455,00;455,00;0,00;455,00;455,00;455,00;0,00;0,00
50501;1.100.05.05.01;Unterhaltsvorschussleistungen;58110000;Aufwendungen aus internen Leistungsbez.;39.986,00;39.986,00;39.986,00;39.986,00;0,00;39.986,00;39.986,00;39.986,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;43110000;Verwaltungsgebühren;-660,00;-1.850,00;-1.500,00;-1.500,00;0,00;-1.500,00;-1.500,00;-1.500,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;45829000;Erträge aus der Auflösung sonstiger Rück;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;45910017;Rückzahlung Zuschüsse und andere Einzahl;0,00;0,00;-5,00;-5,00;0,00;-5,00;-5,00;-5,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50000000;Planung Personalaufwendungen;0,00;0,00;110.822,51;111.227,56;0,00;112.793,68;114.389,25;116.014,72;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50110000;Bezüge Beamte;5.476,46;8.935,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50120000;Vergütungen tariflich Beschäftigte;90.925,55;114.790,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50220000;Beiträge Versorgungskassen tariflich Bes;7.257,99;9.175,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;17.209,79;21.982,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50510000;Rückstellungen für Pensionsverpflichtung;2.015,40;0,00;6.165,43;5.760,00;0,00;5.760,00;5.760,00;5.760,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;50610000;Rückstellungen für Beihilfen;684,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;51000000;Planung Versorgungsaufwendungen;0,00;0,00;14.882,07;13.903,44;0,00;14.300,69;14.697,93;15.095,17;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;53390033;Aufgaben nach dem Betreuungsgesetz;52.024,25;91.734,43;50.000,00;55.000,00;0,00;55.000,00;55.000,00;55.000,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;54120002;Ausbildung;291,15;283,30;500,00;850,00;0,00;850,00;850,00;850,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;54123000;Fort- und Weiterbildung, Dienstreisen;914,04;643,70;682,00;682,00;0,00;682,00;682,00;682,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;54310000;Geschäftsaufwendungen;379,27;640,71;455,00;455,00;0,00;455,00;455,00;455,00;0,00;0,00
50601;1.100.05.06.01;Betreuungsleistungen n. d. Betreuungsg.;58110000;Aufwendungen aus internen Leistungsbez.;52.399,00;52.399,00;52.399,00;52.399,00;0,00;52.399,00;52.399,00;52.399,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;41420001;Zuw. Pflegeberatung/Fallmanagement Pfleg;-19.286,00;-38.572,00;-19.250,00;-19.250,00;0,00;-19.250,00;-19.250,00;-19.250,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;41480002;Spenden;-220,34;-736,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;45010000;Sonstige ordentliche Erträge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50000000;Planung Personalaufwendungen;0,00;0,00;237.965,43;239.815,11;0,00;243.191,80;246.631,98;250.136,61;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50110000;Bezüge Beamte;7.853,73;8.583,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50120000;Vergütungen tariflich Beschäftigte;157.017,28;173.545,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50220000;Beiträge Versorgungskassen tariflich Bes;12.794,22;13.841,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;31.258,33;34.381,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50510000;Rückstellungen für Pensionsverpflichtung;2.890,27;0,00;13.238,81;12.419,00;0,00;12.419,00;12.419,00;12.419,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;50610000;Rückstellungen für Beihilfen;981,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;51000000;Planung Versorgungsaufwendungen;0,00;0,00;31.955,76;29.976,89;0,00;30.833,37;31.689,85;32.546,34;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;52810000;Sonstige Sachleistungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;52910000;Aufwendungen für sonstige Dienstleistung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;53180000;Zuweis. u. Zuschüsse für lfd. Zwecke an;45.482,76;44.337,15;44.000,00;44.000,00;0,00;44.000,00;44.000,00;44.000,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;53180008;Zuwend. f. e. Veranstaltungen/ versch. V;0,00;23,01;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;54123000;Fort- und Weiterbildung, Dienstreisen;534,73;482,88;520,00;637,00;0,00;637,00;637,00;637,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;54310000;Geschäftsaufwendungen;685,17;76,38;500,00;500,00;0,00;500,00;500,00;500,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;54313000;Mitgliedsbeiträge;565,55;665,55;587,00;663,00;0,00;663,00;663,00;663,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;54319027;Ausz. zur Verbesserung Aufnahme und Inte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;54413600;Unfallversicherung;172,05;172,05;200,00;200,00;0,00;200,00;200,00;200,00;0,00;0,00
50701;1.100.05.07.01;Sonstige Hilfen und Leistungen;58110000;Aufwendungen aus internen Leistungsbez.;91.125,00;91.125,00;91.125,00;91.125,00;0,00;91.125,00;91.125,00;91.125,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;43210025;Gebühren für städtische Wohnungen;-4.135,44;-26.674,43;-8.000,00;-8.000,00;0,00;-8.000,00;-8.000,00;-8.000,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;43210026;Entgelt beschlagnahmter Wohnungen;-3.141,36;9.416,37;-100,00;-100,00;0,00;-100,00;-100,00;-100,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;45910000;andere sonstige ordentliche Erträge;-2.753,47;-4.833,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;50000000;Planung Personalaufwendungen;0,00;0,00;39.138,74;39.129,47;0,00;39.680,43;40.241,74;40.813,58;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;50110000;Bezüge Beamte;15.867,84;15.184,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;50120000;Vergütungen tariflich Beschäftigte;37.695,43;42.513,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;50220000;Beiträge Versorgungskassen tariflich Bes;2.635,11;3.071,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50801;1.100.05.08.01;Bew. von Unterkünften für Wohnungslose;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;6.648,41;7.702,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
