Kontengruppe-Nummer;Kontengruppe;Profitcenter;Profitcenter-Bezeichnung;Art;PSP-Element;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017
57;Bilanzielle Aufwendungen;505; Förderung v. Trägern d. Wohlfahrtspflege ;2;1.100.05.05;57117000;AfA auf Betriebs- und Geschäftsausst.;496,69;639,99;569,17;511,23
57;Bilanzielle Aufwendungen;505; Förderung v. Trägern d. Wohlfahrtspflege ;2;1.100.05.05;57117001;Afa auf Betriebs- und Geschäftsaust. EÖB;0;0;0;0
44;Privatrechtliche Leistungsentgelte;506; Betreuung n. d. Betreuungsgesetz ;1;1.100.05.06;44880029;Erstattung Betreuungskosten;0;0;0;0
45;sonstige ordentliche Erträge;506; Betreuung n. d. Betreuungsgesetz ;1;1.100.05.06;45820000;Erträge aus der Auflösung von Rückstellu;0;0;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50110000;Bezüge Beamte;134.785,39;112.993,95;125.072,00;119.113,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50120000;Vergütungen tariflich Beschäftigte;91.329,11;59.571,09;65.753,00;64.971,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50220000;Versorgungskassenb. tarifl. Beschäftigte;7.396,45;4.869,07;5.287,00;5.157,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50320000;Beiträge gesetzl.SV tarifl. Beschäftigte;16.976,76;11.196,80;13.125,00;13.019,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50410000;Beihilfen und Unterstützungsleistungen f;8.135,44;8.436,90;8.785,44;7.906,44
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50411000;Beihilf. u.a.taBesch;18,24;19,1;24,84;46,8
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50510000;Rückstellungen für Pensionsverpflichtung;51.118,46;66.274,55;55.099,00;77.290,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50610000;Rückstellungen für Beihilfen;17.298,29;15.744,81;14.692,00;14.567,00
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50710000;Zuf. Altersteilzeit Rückstellung Beamte;11.336,66;0;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50720000;Zuf. ATZ-RS tBesch;0;0;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50811000;RS Urlaub Beamte;-4.562,01;-1.159,00;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50812000;RS Urlaub tarifl. Beschäftigte;-966,02;34,1;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50813000;RS Überstunden Beamte;115,36;239,23;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50814000;RS Überstunden tarifl.Beschäftigte;585,79;-54,55;0;0
50;Personalaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;50911000;Zuführ. Rückstellung Besoldungsnachzahlu;0;0;0;0
51;Versorgungsaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;51210000;Beitr. Versorgungsk. Versorgungsempfänge;718,44;774,46;695,28;660
51;Versorgungsaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;51410000;Beihilfen, Unterst. Versorgungsempfänger;0;0;13.226,76;10.981,20
51;Versorgungsaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;51510000;Zuf. Pensionsrückst. Versorgungsempf.;59.293,48;79.930,67;48.043,00;72.992,00
51;Versorgungsaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;51610000;Zuf. Beihilferückst. Versorgungsempf.;20.151,99;19.218,29;13.069,00;14.364,00
51;Versorgungsaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;51711000;Zuführ. Rückstellung Besoldungsnz. Verso;0;0;0;0
52;Aufwendungen für Sach- und Dienstleistungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;52550000;Unterhaltung des so. bewegl. Vermögens;0;0;100;0
53;Transferaufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;53180006;Zuschuss Betreuungsvereine;163.671,71;186.544,54;190.000,00;193.000,00
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54111000;Fahrtkostenerstattung Beamte;1.005,03;1.135,50;839;800
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54111100;Fahrtkostenerstattung tariflich Beschäft;20,39;646,66;0;0
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54120001;Dienst-/Schutzkleidung;0;0;0;0
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54291000;Prozesskosten;0;0;0;0
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54294000;Verwaltungskostenbeitrag RVK;579,11;590,82;576,6;568,32
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54310000;Büromaterial;416,47;0;0;0
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54311000;Telekommunikation;1.803,54;1.588,20;2.502,29;2.527,32
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54311200;Zeitungen/Fachliteratur;116;114,4;150;150
54;sonstige ordentliche Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;54311500;Porto;4.398,48;5.846,31;6.659,09;6.725,93
57;Bilanzielle Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;57117000;AfA auf Betriebs- und Geschäftsausst.;447,21;453,97;478,43;374,02
57;Bilanzielle Aufwendungen;506; Betreuung n. d. Betreuungsgesetz ;2;1.100.05.06;57117001;Afa auf Betriebs- und Geschäftsaust. EÖB;0;0;0;0
58;Aufwendungen aus internen Leistungsbeziehungen;506; Betreuung n. d. Betreuungsgesetz ;5;1.100.05.06;58110001;ILV Medienpool;0;0;0;0
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110000;Kostenersatz a.E.;0;0;-10;-10
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110001;Kostenbeiträge a.v.E;0;0;-10;-10
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110002;Ersatzleistungen Unterhaltspflichtige;-8.556,80;-9.771,85;-6.000,00;-8.000,00
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110003;Ersatzleistungen Sozialleistungsträger;-65.389,87;-81.580,62;-70.000,00;-60.000,00
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110004;Ersatzleistungen sonst. Pflichtige;0;-11.097,44;-10;-10
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110005;Rückzahlung überzahlter Sozialhilfe;-29.025,81;-13.535,97;-13.000,00;-20.000,00
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110010;Rückzahlung Darlehen;-20.853,66;-16.614,90;-9.622,00;-10.000,00
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42110011;Abwicklung Altfälle BSHG;-51.178,63;-48.513,87;-60.000,00;-50.000,00
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42210001;Kostenbeiträge i. E.;0;0;-10;-10
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42210002;Ersatzleistungen Unterhaltspflichtige;0;0;-10;-10
42;sonstige Transfererträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;42210006;Rückzahlung überzahlter Sozialhilfe HzLu;-2.827,51;-1.249,55;-4.000,00;-2.500,00
45;sonstige ordentliche Erträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;45640002;Erstattung Versicherung HzL in Einrichtu;0;0;-10;-10
45;sonstige ordentliche Erträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;45820000;Erträge aus der Auflösung von Rückstellu;0;0;0;0
45;sonstige ordentliche Erträge;508; Hilfe zum Lebensunterhalt ;1;1.100.05.08;45829001;Erträge aus der Auflösung RS Prozesskost;-950;-923;0;0
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50110000;Bezüge Beamte;115.583,47;116.724,50;116.524,00;119.956,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50120000;Vergütungen tariflich Beschäftigte;30.047,85;31.464,30;30.364,00;30.684,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50220000;Versorgungskassenb. tarifl. Beschäftigte;2.345,69;2.574,05;2.436,00;2.435,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50320000;Beiträge gesetzl.SV tarifl. Beschäftigte;6.027,23;6.314,53;6.046,00;6.147,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50410000;Beihilfen und Unterstützungsleistungen f;6.976,44;6.945,71;8.184,96;7.962,36
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50411000;Beihilf. u.a.taBesch;5,99;10,04;23,16;47,16
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50510000;Rückstellungen für Pensionsverpflichtung;43.835,97;54.560,83;47.946,00;62.456,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50610000;Rückstellungen für Beihilfen;14.833,92;12.961,99;12.784,00;11.771,00
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50710000;Zuf. Altersteilzeit Rückstellung Beamte;0;0;0;0
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50811000;RS Urlaub Beamte;-743,97;1.592,57;0;0
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50812000;RS Urlaub tarifl. Beschäftigte;-163,01;388,65;0;0
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50813000;RS Überstunden Beamte;305,35;-201,89;0;0
50;Personalaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;50814000;RS Überstunden tarifl.Beschäftigte;-23,51;-36,55;0;0
51;Versorgungsaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;51210000;Beitr. Versorgungsk. Versorgungsempfänge;616,09;637,58;647,76;664,68
51;Versorgungsaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;51410000;Beihilfen, Unterst. Versorgungsempfänger;0;0;12.322,80;11.058,96
51;Versorgungsaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;51510000;Zuf. Pensionsrückst. Versorgungsempf.;50.846,36;65.803,30;41.807,00;58.983,00
51;Versorgungsaufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;51610000;Zuf. Beihilferückst. Versorgungsempf.;17.281,08;15.821,54;11.372,00;11.608,00
52;Aufwendungen für Sach- und Dienstleistungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;52911000;Aufwand für EDV Dienstleistungen;2.144,70;5.334,51;1.936,00;5.975,00
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54111000;Fahrtkostenerstattung Beamte;20,67;109,61;0;450
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54130000;Aus- und Fortbildung;880,1;62,1;1.000,00;1.000,00
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54291000;Prozesskosten;2.632,26;1.268,78;6.000,00;3.000,00
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54294000;Verwaltungskostenbeitrag RVK;496,6;486,39;537,24;572,28
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54310000;Büromaterial;311,99;0;0;0
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54311000;Telekommunikation;1.803,54;1.588,20;2.502,29;2.527,32
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54311500;Porto;4.398,48;5.846,31;6.659,09;6.725,93
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54490001;Wertberichtigung von Forderungen wg.Unei;0;210,51;0;0
54;sonstige ordentliche Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;54990001;Weiterleitung von Einnahmen an den Kreis;131.086,91;119.487,11;132.682,00;125.560,00
57;Bilanzielle Aufwendungen;508; Hilfe zum Lebensunterhalt ;2;1.100.05.08;57117000;AfA auf Betriebs- und Geschäftsausst.;0;0;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110007;Ersatzleistungen schadensersatz Pflichti;0;0;-10;-10
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110008;Erstattung Sozialleistungsträger;0;0;-10;-10
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110021;Sozl.HzGr.a.E.oberh. Altersgrenze;-55.825,79;-38.249,17;-45.000,00;-50.000,00
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110022;Sonst.Pfl. Gr.a.E.oberh.Altersgrenze;-370,02;0;-10;-10
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110024;Überz.Soz.HzBeh.a.E.;0;0;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110027;Überz.Soz.HzGr. a.E.oberh.Altersgrenze;-56.939,24;-51.983,83;-40.000,00;-50.000,00
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110030;Ersatzl.sch.pfl. Gr.oberh.Altersgrenze;0;0;-10;-10
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110032;Rückzahlung Darlehen Grusi a.v.E.oberh.A;-27.659,45;-27.463,48;-5.000,00;-25.000,00
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110035;Sozl.HzGr.a.E.unterh. Altersgrenze;0;-26.037,28;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110036;Sonst.Pfl. Gr.a.E.unterh.Altersgrenze;0;-4.019,84;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110037;Überz.Soz.HzGr. a.E.unterh.Altersgrenze;0;-5.041,01;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42110039;Rückzahlung Darlehen Grusi a.v.E.unterh.;0;-783;0;0
42;sonstige Transfererträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;42210010;Rückzahlung überzahlter SH.i.E.;-450,39;-1.628,71;-1.500,00;-100
44;Privatrechtliche Leistungsentgelte;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;44619000;Vermischte Erträge;0;-1.800,21;-10;-10
45;sonstige ordentliche Erträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;45611000;Zwangsgelder;-2.650,00;-300;0;-10
45;sonstige ordentliche Erträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;45640001;Schadensersatzleistungen;0;-26.243,56;0;0
45;sonstige ordentliche Erträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;45640005;Erstattung Versicherung Grundsicherung i;0;0;-5.500,00;-10
45;sonstige ordentliche Erträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;45640010;Eigenschaden SGB XII;-398,83;-2.578,83;-100;-100
45;sonstige ordentliche Erträge;509; Grusi im Alter und bei Erwerbsmind. ;1;1.100.05.09;45820000;Erträge aus der Auflösung von Rückstellu;0;0;0;0
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50110000;Bezüge Beamte;271.515,41;260.240,09;277.253,00;264.159,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50120000;Vergütungen tariflich Beschäftigte;52.822,19;54.448,43;53.858,00;55.284,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50220000;Versorgungskassenb. tarifl. Beschäftigte;4.119,07;4.301,48;4.320,00;4.387,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50320000;Beiträge gesetzl.SV tarifl. Beschäftigte;10.605,80;10.944,97;10.724,00;11.076,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50410000;Beihilfen und Unterstützungsleistungen f;16.388,26;15.485,64;19.475,04;17.534,16
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50411000;Beihilf. u.a.taBesch;10,53;17,37;55,2;103,8
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50510000;Rückstellungen für Pensionsverpflichtung;102.974,43;121.644,68;114.082,00;137.536,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50610000;Rückstellungen für Beihilfen;34.846,15;28.899,06;30.419,00;25.922,00
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50710000;Zuf. Altersteilzeit Rückstellung Beamte;0;0;0;0
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50811000;RS Urlaub Beamte;-368,99;610,77;0;0
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50812000;RS Urlaub tarifl. Beschäftigte;-679,01;1.313,01;0;0
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50813000;RS Überstunden Beamte;3.604,94;-3.766,86;0;0
50;Personalaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;50814000;RS Überstunden tarifl.Beschäftigte;-145,71;219,63;0;0
51;Versorgungsaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;51210000;Beitr. Versorgungsk. Versorgungsempfänge;1.447,24;1.421,50;1.541,16;1.463,88
51;Versorgungsaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;51410000;Beihilfen, Unterst. Versorgungsempfänger;0;0;29.320,32;24.353,16
51;Versorgungsaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;51510000;Zuf. Pensionsrückst. Versorgungsempf.;119.442,43;146.710,04;99.474,00;129.888,00
51;Versorgungsaufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;51610000;Zuf. Beihilferückst. Versorgungsempf.;40.594,73;35.274,51;27.059,00;25.561,00
52;Aufwendungen für Sach- und Dienstleistungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;52550000;Unterhaltung des so. bewegl. Vermögens;1.287,20;491,68;2.541,00;2.911,00
52;Aufwendungen für Sach- und Dienstleistungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;52550013;Erwerb Vermögensgegenstände < 410 Euro;177,23;0;2.500,00;0
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54111000;Fahrtkostenerstattung Beamte;198,15;39,45;0;150
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54130000;Aus- und Fortbildung;1.959,09;2.498,40;3.000,00;3.000,00
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54291000;Prozesskosten;380,8;1.698,07;1.500,00;400
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54294000;Verwaltungskostenbeitrag RVK;1.166,57;1.084,43;1.278,24;1.260,24
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54310000;Büromaterial;421,51;0;0;0
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54311000;Telekommunikation;1.803,54;1.588,20;2.502,29;2.527,32
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54311200;Zeitungen/Fachliteratur;929,12;1.104,66;1.100,00;1.100,00
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54311500;Porto;4.398,48;5.846,31;6.659,09;6.725,93
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54710000;Wertveränderungen bei Sachanlagen;0;24,36;0;0
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54770000;Verr.bei Sachanlagen mit allg. Rücklage;0;-24,36;0;0
54;sonstige ordentliche Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;54990001;Weiterleitung von Einnahmen an den Kreis;185.799,67;150.900,27;97.140,00;125.260,00
57;Bilanzielle Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;57117000;AfA auf Betriebs- und Geschäftsausst.;2.777,23;2.855,24;1.871,97;2.905,69
57;Bilanzielle Aufwendungen;509; Grusi im Alter und bei Erwerbsmind. ;2;1.100.05.09;57117001;Afa auf Betriebs- und Geschäftsaust. EÖB;0;0;0;0
42;sonstige Transfererträge;510; Hilfen zur Gesundheit ;1;1.100.05.10;42110014;Kostenb.HzG a.v.E.;0;0;-10;-10
54;sonstige ordentliche Aufwendungen;510; Hilfen zur Gesundheit ;2;1.100.05.10;54291000;Prozesskosten;0;0;1.500,00;0
54;sonstige ordentliche Aufwendungen;510; Hilfen zur Gesundheit ;2;1.100.05.10;54310000;Büromaterial;420,43;0;0;0
54;sonstige ordentliche Aufwendungen;510; Hilfen zur Gesundheit ;2;1.100.05.10;54311000;Telekommunikation;1.803,54;1.588,20;2.502,29;2.527,32
54;sonstige ordentliche Aufwendungen;510; Hilfen zur Gesundheit ;2;1.100.05.10;54311500;Porto;4.398,48;5.846,31;6.659,09;6.725,93
54;sonstige ordentliche Aufwendungen;510; Hilfen zur Gesundheit ;2;1.100.05.10;54990001;Weiterleitung von Einnahmen an den Kreis;0;0;10;10
42;sonstige Transfererträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;42110006;Erstattung anderer Sozialhilfeträger;-3.071,20;0;-10;-10
42;sonstige Transfererträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;42110016;Unterhalt Beh.a.v.E.;-839,7;-1.241,58;-428;-800
42;sonstige Transfererträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;42110018;Sozl.HzBeh.a.E.;1.248,00;-798;-10;-1.000,00
42;sonstige Transfererträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;42110024;Überz.Soz.HzBeh.a.E.;-2.389,66;-2.506,62;-10;-10
45;sonstige ordentliche Erträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;45640007;Erst. Versicherung, Eingliederung in Ein;0;0;-10;-10
45;sonstige ordentliche Erträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;45640008;Erst.Versicherung, Eingliederung außerh.;0;0;-10;-10
45;sonstige ordentliche Erträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;45820000;Erträge aus der Auflösung von Rückstellu;0;0;0;0
45;sonstige ordentliche Erträge;511; Eingliederungshilfe f. beh. Menschen ;1;1.100.05.11;45829001;Erträge aus der Auflösung RS Prozesskost;-950;0;0;0
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50110000;Bezüge Beamte;51.151,45;46.965,07;51.921,00;48.733,00
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50410000;Beihilfen und Unterstützungsleistungen f;3.087,42;2.794,67;3.647,04;3.234,72
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50411000;Beihilf. u.a.taBesch;0;0;10,32;19,2
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50510000;Rückstellungen für Pensionsverpflichtung;19.399,60;21.953,00;21.364,00;25.373,00
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50610000;Rückstellungen für Beihilfen;6.564,75;5.215,36;5.697,00;4.782,00
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50710000;Zuf. Altersteilzeit Rückstellung Beamte;1.455,13;12.348,23;19.208,00;7.467,00
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50811000;RS Urlaub Beamte;-804,39;120,79;0;0
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50813000;RS Überstunden Beamte;477,97;151,07;0;0
50;Personalaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;50814000;RS Überstunden tarifl.Beschäftigte;0;1.203,81;0;0
51;Versorgungsaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;51210000;Beitr. Versorgungsk. Versorgungsempfänge;272,65;256,54;288,6;270
51;Versorgungsaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;51410000;Beihilfen, Unterst. Versorgungsempfänger;0;0;5.490,84;4.492,80
51;Versorgungsaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;51510000;Zuf. Pensionsrückst. Versorgungsempf.;22.502,05;26.476,50;18.628,00;23.962,00
51;Versorgungsaufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;51610000;Zuf. Beihilferückst. Versorgungsempf.;7.647,74;6.365,93;5.067,00;4.716,00
54;sonstige ordentliche Aufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;54130000;Aus- und Fortbildung;4.123,50;831,45;1.000,00;1.000,00
54;sonstige ordentliche Aufwendungen;511; Eingliederungshilfe f. beh. Menschen ;2;1.100.05.11;54291000;Prozesskosten;6.650,00;4.600,00;1.500,00;0
